pair,entry_ts,exit_ts,direction,entry,exit,pnl_pips,pnl_r,exit_reason,bars_held
AUDUSD,2025-09-17 12:00:00,2025-09-17 16:00:00,1,0.6669334173202515,0.670718426979873,36.650096596215846,2.999999999999975,TP,1
GBPUSD,2025-09-18 00:00:00,2025-09-18 04:00:00,1,1.362119436264038,1.359094080078183,-31.75356185855088,-0.9999999999999836,SL,1
GBPUSD,2025-09-18 04:00:00,2025-09-18 12:00:00,1,1.3633079528808594,1.3599842321686293,-34.73720712230082,-1.0000000000000093,SL,2
EURUSD,2025-09-22 12:00:00,2025-09-24 08:00:00,1,1.1775789260864258,1.1775789260864258,-1.0,0.0,SL,11
GBPUSD,2025-09-23 00:00:00,2025-09-23 08:00:00,1,1.3515704870224,1.3491342896125427,-25.861974098572325,-0.9999999999999563,SL,2
GBPUSD,2025-09-23 08:00:00,2025-09-24 04:00:00,1,1.3515340089797974,1.3489616592413358,-27.223497384615435,-1.0000000000000302,SL,5
AUDUSD,2025-09-23 12:00:00,2025-09-24 12:00:00,1,0.6600224375724792,0.6600224375724792,-1.2,0.0,SL,6
AUDUSD,2025-09-25 00:00:00,2025-09-25 08:00:00,1,0.6601531505584717,0.6586179681142091,-16.551824442625396,-0.999999999999984,SL,2
EURUSD,2025-10-01 12:00:00,2025-10-02 12:00:00,1,1.1726078987121582,1.1697903949907345,-29.17503721423753,-1.000000000000014,SL,6
EURUSD,2025-10-03 00:00:00,2025-10-06 04:00:00,1,1.1730204820632935,1.1704224120477804,-26.98070015513043,-1.000000000000019,SL,8
GBPUSD,2025-10-03 00:00:00,2025-10-07 08:00:00,1,1.344573974609375,1.3414930619827818,-32.309126265931575,-1.000000000000014,SL,15
AUDUSD,2025-10-03 04:00:00,2025-10-05 20:00:00,1,0.6607638597488403,0.6591967387385536,-16.87121010286776,-0.9999999999999826,SL,5
AUDUSD,2025-10-06 00:00:00,2025-10-06 08:00:00,1,0.6610259413719177,0.6595644684838846,-15.814728880331106,-1.0000000000000233,SL,2
AUDUSD,2025-10-06 08:00:00,2025-10-07 04:00:00,1,0.6600224375724792,0.6600224375724792,-1.2,0.0,SL,5
GBPUSD,2025-10-13 00:00:00,2025-10-15 04:00:00,-1,1.335416555404663,1.335416555404663,-1.5,-0.0,SL,13
EURUSD,2025-10-19 20:00:00,2025-10-22 08:00:00,-1,1.1661807298660278,1.1596745513250246,64.06178541003216,3.0000000000000373,TP,15
GBPUSD,2025-10-20 04:00:00,2025-10-22 04:00:00,-1,1.3417235612869263,1.3335826339327583,79.90927354167937,3.000000000000009,TP,12
AUDUSD,2025-10-22 00:00:00,2025-10-22 04:00:00,-1,0.6497303247451782,0.6513220646940242,-17.117399488459828,-1.0000000000000124,SL,1
AUDUSD,2025-10-22 04:00:00,2025-10-23 04:00:00,-1,0.6506181359291077,0.6506181359291077,-1.2,-0.0,SL,6
AUDUSD,2025-10-23 08:00:00,2025-10-24 12:00:00,-1,0.6504064798355103,0.6520576128118406,-17.711329763303493,-1.0000000000000078,SL,7
EURUSD,2025-10-23 12:00:00,2025-10-24 12:00:00,-1,1.161440134048462,1.1634061636087205,-20.660295602585975,-1.0000000000000329,SL,6
AUDUSD,2025-10-24 12:00:00,2025-10-27 00:00:00,-1,0.6510840654373169,0.6527366514179015,-17.725859805845975,-1.000000000000009,SL,3
GBPUSD,2025-10-27 12:00:00,2025-10-28 00:00:00,-1,1.3329423666000366,1.3357335323433208,-29.411657432841963,-0.9999999999999813,SL,3
EURUSD,2025-10-29 08:00:00,2025-10-29 12:00:00,-1,1.1642799377441406,1.1662296202630609,-20.496825189202482,-1.0000000000000306,SL,1
EURUSD,2025-11-06 00:00:00,2025-11-06 12:00:00,-1,1.151012897491455,1.1527587909624943,-18.458934710392615,-0.999999999999984,SL,3
AUDUSD,2025-11-06 00:00:00,2025-11-10 00:00:00,-1,0.6513809561729431,0.6513809561729431,-1.2,-0.0,SL,12
GBPUSD,2025-11-11 20:00:00,2025-11-13 08:00:00,-1,1.3153221607208252,1.3153221607208252,-1.5,-0.0,SL,9
GBPUSD,2025-11-13 08:00:00,2025-11-13 12:00:00,-1,1.314699649810791,1.3175925225644394,-30.428727536483567,-0.9999999999999675,SL,1
GBPUSD,2025-11-13 20:00:00,2025-11-14 08:00:00,-1,1.3151837587356567,1.3186937735390398,-36.60014803383088,-1.0000000000000047,SL,3
GBPUSD,2025-11-14 16:00:00,2025-11-19 16:00:00,-1,1.3166730403900146,1.3046559335172263,118.67106872788341,3.000000000000025,TP,18
EURUSD,2025-11-17 04:00:00,2025-11-19 12:00:00,-1,1.1615750789642334,1.1551766983585463,62.983806056870925,2.9999999999999614,TP,14
GBPUSD,2025-11-21 16:00:00,2025-11-25 08:00:00,-1,1.310289740562439,1.3138595927957488,-37.19852233309856,-1.0000000000000304,SL,10
AUDUSD,2025-11-24 00:00:00,2025-11-26 00:00:00,-1,0.646328866481781,0.6483831216614468,-21.742551796658425,-0.999999999999986,SL,12
EURUSD,2025-11-24 12:00:00,2025-11-25 12:00:00,-1,1.1532695293426514,1.1556321821505566,-24.626528079052633,-1.000000000000002,SL,6
EURUSD,2025-11-28 04:00:00,2025-11-28 12:00:00,-1,1.1582117080688477,1.1599635049491852,-18.517968803375528,-0.9999999999999561,SL,2
AUDUSD,2025-12-10 12:00:00,2025-12-10 20:00:00,1,0.6638343334197998,0.6683664206198748,44.120872000750296,2.9999999999999964,TP,2
AUDUSD,2025-12-11 00:00:00,2025-12-12 16:00:00,1,0.6642752885818481,0.6642752885818481,-1.2,0.0,SL,10
AUDUSD,2025-12-12 16:00:00,2025-12-15 16:00:00,1,0.6653802394866943,0.6635246330366491,-19.75606450045233,-1.0000000000000167,SL,6
EURUSD,2025-12-16 20:00:00,2025-12-17 04:00:00,1,1.1752262115478516,1.1730415344789058,-22.846770689457617,-0.9999999999999806,SL,2
GBPUSD,2025-12-17 16:00:00,2025-12-18 16:00:00,1,1.3377031087875366,1.3377031087875366,-1.5,0.0,SL,6
EURUSD,2025-12-17 16:00:00,2025-12-18 08:00:00,1,1.1748120784759521,1.17239414767518,-25.17930800772128,-1.000000000000027,SL,4
GBPUSD,2025-12-18 16:00:00,2025-12-23 04:00:00,1,1.3386701345443726,1.3500494340991784,112.29299554805877,3.0000000000000075,TP,15
AUDUSD,2025-12-19 20:00:00,2025-12-22 12:00:00,1,0.6614194512367249,0.6655129972810764,39.73546044351525,3.0000000000000067,TP,4
EURUSD,2025-12-26 04:00:00,2025-12-29 04:00:00,1,1.1775789260864258,1.1759946718192846,-16.842542671411497,-0.9999999999999772,SL,6
GBPUSD,2025-12-26 16:00:00,2025-12-29 08:00:00,1,1.3499102592468262,1.34752330030937,-25.369589374561073,-1.0000000000000397,SL,4
GBPUSD,2025-12-29 12:00:00,2025-12-30 12:00:00,1,1.3499830961227417,1.3474143935667338,-27.1870255600794,-1.0000000000000313,SL,6
EURUSD,2025-12-29 20:00:00,2025-12-30 12:00:00,1,1.1775789260864258,1.1756756261874133,-20.032998990125005,-1.0000000000000182,SL,4
AUDUSD,2025-12-30 00:00:00,2025-12-30 12:00:00,1,0.6708707809448242,0.6696310876936649,-13.596932511593572,-0.9999999999999916,SL,3
AUDUSD,2025-12-30 12:00:00,2025-12-31 04:00:00,1,0.6703311800956726,0.6690383928019519,-14.127872937207318,-0.9999999999999776,SL,4
GBPUSD,2026-01-01 20:00:00,2026-01-02 08:00:00,1,1.3473275899887085,1.345449798914423,-20.277910742855397,-0.9999999999999792,SL,3
EURUSD,2026-01-02 12:00:00,2026-01-02 16:00:00,1,1.175364375114441,1.173451281041033,-20.13094073408006,-1.000000000000041,SL,1
GBPUSD,2026-01-02 20:00:00,2026-01-05 00:00:00,1,1.346293568611145,1.343432298038532,-30.11270572612984,-1.000000000000015,SL,1
GBPUSD,2026-01-05 08:00:00,2026-01-05 12:00:00,1,1.3459855318069458,1.3427163831695754,-34.19148637370378,-0.999999999999992,SL,1
AUDUSD,2026-01-05 08:00:00,2026-01-05 12:00:00,1,0.6686279773712158,0.6672859511502374,-14.620262209784538,-1.0000000000000095,SL,1
EURUSD,2026-01-05 16:00:00,2026-01-06 12:00:00,1,1.1730204820632935,1.1705016459082842,-26.18836155009252,-0.9999999999999712,SL,5
GBPUSD,2026-01-07 04:00:00,2026-01-07 16:00:00,1,1.3493092060089111,1.3464675585656571,-29.916474432539918,-0.9999999999999789,SL,3
AUDUSD,2026-01-08 00:00:00,2026-01-08 04:00:00,1,0.6715465784072876,0.6699332841094005,-17.332942978871465,-0.9999999999999708,SL,1
GBPUSD,2026-01-14 00:00:00,2026-01-15 08:00:00,1,1.3445920944213867,1.3420707344918632,-26.713599295235145,-0.9999999999999827,SL,8
AUDUSD,2026-01-14 00:00:00,2026-01-14 08:00:00,1,0.6701963543891907,0.6686146883198623,-17.016660693284134,-0.9999999999999928,SL,2
AUDUSD,2026-01-19 00:00:00,2026-01-20 04:00:00,1,0.6690306067466736,0.6731141902094481,39.63583462774486,2.9999999999999827,TP,7
GBPUSD,2026-01-21 12:00:00,2026-01-23 08:00:00,1,1.3427685499191284,1.3526937722091845,97.75222290056101,3.000000000000018,TP,11
AUDUSD,2026-01-29 12:00:00,2026-01-30 08:00:00,1,0.69808030128479,0.69808030128479,-1.2,0.0,SL,5
GBPUSD,2026-01-29 12:00:00,2026-02-02 16:00:00,1,1.3764245510101318,1.3714810400814395,-50.93510928692385,-1.000000000000006,SL,7
EURUSD,2026-01-29 12:00:00,2026-02-02 16:00:00,1,1.1933174133300781,1.188831716278668,-45.8569705141022,-0.9999999999999911,SL,7
AUDUSD,2026-01-30 08:00:00,2026-02-02 16:00:00,1,0.7025431990623474,0.6979676234618006,-46.95575600546778,-1.000000000000007,SL,2
AUDUSD,2026-02-03 12:00:00,2026-02-05 00:00:00,1,0.7016066908836365,0.6971141963174488,-46.12494566187721,-1.000000000000006,SL,9
AUDUSD,2026-02-06 08:00:00,2026-02-09 12:00:00,1,0.6987631916999817,0.7090680623564419,101.84870656460241,3.000000000000011,TP,7
GBPUSD,2026-02-10 20:00:00,2026-02-11 12:00:00,1,1.3634381294250488,1.3634381294250488,-1.5,0.0,SL,4
EURUSD,2026-02-11 16:00:00,2026-02-13 04:00:00,1,1.1883541345596313,1.1852490820831212,-32.05052476510161,-1.000000000000022,SL,9
GBPUSD,2026-02-12 08:00:00,2026-02-12 16:00:00,1,1.3650572299957275,1.3618012175220238,-34.06012473703773,-0.9999999999999694,SL,2
AUDUSD,2026-02-12 16:00:00,2026-02-13 04:00:00,1,0.7098743319511414,0.7068572809166627,-31.370510344786904,-1.0000000000000075,SL,3
