pair,method,trail_mult,atr_trail_mult,trail_start_mult,keep_tp,slope_exit_bars,div_exit_th,tight_mult,PF,win_rate,n_trades,max_dd,avg_win,avg_loss,real_rr
EURUSD,atr_trail,,1.0,1.0,True,,,,2.401,0.516,31,0.006964,0.005556,0.002469,2.251
EURUSD,combined,,1.0,1.0,True,3,,,2.401,0.516,31,0.006964,0.005556,0.002469,2.251
EURUSD,combined,,1.0,1.0,True,5,,,2.401,0.516,31,0.006964,0.005556,0.002469,2.251
EURUSD,combined,,1.0,1.0,True,2,,,2.336,0.516,31,0.007846,0.005556,0.002537,2.19
EURUSD,div_tighten,,,,,,1.0,0.3,2.32,0.485,33,0.005671,0.005124,0.002078,2.466
EURUSD,slope_exit,,,,,1,,,1.468,0.41,39,0.005727,0.001606,0.000761,2.11
GBPJPY,atr_trail,,0.5,0.0,False,,,,3.471,0.629,62,1.448701,0.440932,0.215408,2.047
GBPJPY,fixed_trail,0.5,,,False,,,,3.382,0.567,60,1.048019,0.58495,0.226188,2.586
GBPJPY,atr_trail,,0.75,0.0,False,,,,3.275,0.583,60,1.068751,0.540852,0.231188,2.339
GBPJPY,combined,,0.75,0.0,False,3,,,3.275,0.583,60,1.068751,0.540852,0.231188,2.339
GBPJPY,combined,,0.75,0.0,False,5,,,3.275,0.583,60,1.068751,0.540852,0.231188,2.339
GBPJPY,atr_trail,,1.0,0.0,False,,,,3.005,0.517,60,1.141341,0.663957,0.236192,2.811
GBPJPY,combined,,1.0,0.0,False,5,,,3.005,0.517,60,1.141341,0.663957,0.236192,2.811
