sym,sessions,zone_tol_atr,sl_buf_atr,tp_mode,min_rr,body_filter,full_n,full_wr,full_pf,full_net_pips,full_max_dd_pips,full_avg_rr,full_sharpe,full_n_tp,full_n_sl,full_n_to,IS_n,IS_wr,IS_pf,IS_net_pips,IS_max_dd_pips,IS_avg_rr,IS_sharpe,IS_n_tp,IS_n_sl,IS_n_to,OOS_n,OOS_wr,OOS_pf,OOS_net_pips,OOS_max_dd_pips,OOS_avg_rr,OOS_sharpe,OOS_n_tp,OOS_n_sl,OOS_n_to
USDJPY,[8],0.05,0.05,half,0.8,True,515,0.3417,0.7745,-1312.578,1461.7797,2.0,-1.654,125,310,80,297,0.3401,0.6732,-893.6473,1050.2462,2.0,-2.7059,68,173,56,218,0.344,0.8642,-418.9307,405.3642,2.0,-0.9688,57,137,24
USDJPY,[8],0.05,0.05,half,0.8,False,568,0.3521,0.7878,-1313.9091,1399.9031,2.0,-1.5491,141,335,92,328,0.3476,0.6969,-888.6752,1014.2298,2.0,-2.4686,78,187,63,240,0.3583,0.8695,-425.2339,426.8339,2.0,-0.9287,63,148,29
USDJPY,[8],0.05,0.05,half,1.2,True,515,0.3417,0.7745,-1312.578,1461.7797,2.0,-1.654,125,310,80,297,0.3401,0.6732,-893.6473,1050.2462,2.0,-2.7059,68,173,56,218,0.344,0.8642,-418.9307,405.3642,2.0,-0.9688,57,137,24
USDJPY,[8],0.05,0.05,half,1.2,False,568,0.3521,0.7878,-1313.9091,1399.9031,2.0,-1.5491,141,335,92,328,0.3476,0.6969,-888.6752,1014.2298,2.0,-2.4686,78,187,63,240,0.3583,0.8695,-425.2339,426.8339,2.0,-0.9287,63,148,29
USDJPY,[8],0.05,0.05,half,1.5,True,515,0.3417,0.7745,-1312.578,1461.7797,2.0,-1.654,125,310,80,297,0.3401,0.6732,-893.6473,1050.2462,2.0,-2.7059,68,173,56,218,0.344,0.8642,-418.9307,405.3642,2.0,-0.9688,57,137,24
USDJPY,[8],0.05,0.05,half,1.5,False,568,0.3521,0.7878,-1313.9091,1399.9031,2.0,-1.5491,141,335,92,328,0.3476,0.6969,-888.6752,1014.2298,2.0,-2.4686,78,187,63,240,0.3583,0.8695,-425.2339,426.8339,2.0,-0.9287,63,148,29
USDJPY,[8],0.05,0.1,rh_rl,0.8,True,473,0.334,0.7023,-1852.7082,1897.3696,3.5225,-2.158,52,263,158,276,0.3514,0.6417,-1051.8922,1096.5536,3.488,-2.8872,34,147,95,197,0.3096,0.7564,-800.8161,784.483,3.5707,-1.7351,18,116,63
USDJPY,[8],0.05,0.1,rh_rl,0.8,False,517,0.3462,0.7308,-1776.359,1776.1027,3.5896,-1.9105,58,282,177,301,0.3654,0.6814,-984.0367,1022.1937,3.4846,-2.4696,36,154,111,216,0.3194,0.7743,-792.3223,775.9893,3.7359,-1.5908,22,128,66
USDJPY,[8],0.05,0.1,rh_rl,1.2,True,418,0.3301,0.7495,-1367.9294,1556.576,3.8552,-1.7457,34,233,151,249,0.3293,0.6191,-1049.2653,1128.2089,3.7559,-3.1084,20,137,92,169,0.3314,0.8823,-318.6641,422.7775,4.0015,-0.77,14,96,59
USDJPY,[8],0.05,0.1,rh_rl,1.2,False,459,0.342,0.768,-1363.0755,1499.8661,3.9187,-1.5956,38,251,170,271,0.3506,0.6721,-939.9479,1029.7739,3.7577,-2.5452,22,142,107,188,0.3298,0.8594,-423.1275,520.3027,4.1508,-0.9346,16,109,63
USDJPY,[8],0.05,0.1,rh_rl,1.5,True,386,0.3316,0.7599,-1219.4802,1408.9002,4.0642,-1.6536,26,217,143,230,0.3348,0.6283,-944.3707,1018.4369,3.954,-3.0131,16,127,87,156,0.3269,0.8917,-275.1095,374.1302,4.2267,-0.7021,10,90,56
USDJPY,[8],0.05,0.1,rh_rl,1.5,False,421,0.3468,0.7951,-1109.8834,1308.5207,4.1512,-1.383,31,231,159,244,0.3566,0.6935,-793.7205,858.5841,4.0226,-2.3457,17,128,99,177,0.3333,0.8882,-316.1629,469.3186,4.3284,-0.7286,14,103,60
USDJPY,[8],0.05,0.1,mid,0.8,True,343,0.3936,0.7306,-1130.8896,1399.8555,2.0178,-2.1062,86,179,78,201,0.408,0.6844,-649.6618,843.6524,1.9698,-2.577,50,102,49,142,0.3732,0.7751,-481.2277,579.4386,2.0857,-1.7589,36,77,29
USDJPY,[8],0.05,0.1,mid,0.8,False,375,0.4,0.7339,-1212.362,1330.6163,2.0583,-2.0839,94,194,87,214,0.4252,0.7462,-536.0452,696.1526,2.0018,-1.9837,55,104,55,161,0.3665,0.7233,-676.3169,659.9838,2.1334,-2.2464,39,90,32
USDJPY,[8],0.05,0.1,mid,1.2,True,263,0.3612,0.6963,-1028.0928,1253.4616,2.3297,-2.4262,52,145,66,153,0.3791,0.6767,-531.929,664.2842,2.277,-2.6729,31,83,39,110,0.3364,0.7148,-496.1639,590.113,2.4029,-2.2904,21,62,27
USDJPY,[8],0.05,0.1,mid,1.2,False,295,0.3763,0.717,-1052.698,1157.625,2.3488,-2.2344,60,159,76,168,0.4048,0.7528,-424.1469,522.619,2.2806,-1.9335,36,86,46,127,0.3386,0.6864,-628.5511,638.2261,2.4392,-2.5805,24,73,30
USDJPY,[8],0.05,0.1,mid,1.5,True,211,0.3839,0.7638,-633.6519,921.5006,2.5721,-1.7836,39,112,60,119,0.4034,0.7345,-334.5544,466.4097,2.5428,-2.0768,22,63,34,92,0.3587,0.7897,-299.0975,456.0265,2.61,-1.5929,17,49,26
USDJPY,[8],0.05,0.1,mid,1.5,False,231,0.4026,0.7789,-634.804,755.762,2.6269,-1.6558,43,120,68,128,0.4375,0.8226,-228.2329,355.7891,2.5731,-1.3095,25,64,39,103,0.3592,0.7433,-406.571,437.6271,2.6938,-2.0008,18,56,29
