pair,sizing_mode,n,z_in,z_tp,z_stop,max_hold,is_pf,is_n,is_net,is_dd,oos_pf,oos_n,oos_net,oos_dd,oos_wr,oos_avglot,wfo_min
AUDCAD,voladj,20,2.0,1.0,4.0,48,0.8526751828434749,2458,-1904.8880493750905,2173.1217343197395,0.875315890205917,1673,-961.3463429102732,1223.8413708647386,0.5851763299462044,0.8212791392707711,0.7393676938730587
AUDCAD,combo,20,2.0,1.0,4.0,48,0.8452413905632364,2458,-2907.964470029037,3209.976069981424,0.8890159150115787,1673,-1250.9172405545282,1693.698198993141,0.5851763299462044,1.191761692007645,0.7258501129788887
AUDCAD,fixed,20,2.5,0.0,4.0,24,0.9645446571943803,1068,-364.1012472653482,1243.577942240974,1.1007782638265347,726,594.3360020378284,357.5000000000008,0.5027548209366391,1.0,1.0572295193380516
AUDCAD,zscale,20,2.5,0.0,4.0,24,0.9464044600728725,1068,-728.6451587697433,1810.9511839711845,1.0944820705222087,726,763.4794868377121,438.29267368964014,0.5027548209366391,1.3843376129070672,0.9704717695099587
AUDCAD,voladj,20,2.5,0.0,4.0,24,0.961608378274446,1068,-320.4238165967729,917.9101706430122,1.1777208628925349,726,827.1674030117792,213.71933732559177,0.5027548209366391,0.8353994490358126,1.0509546583673848
AUDCAD,combo,20,2.5,0.0,4.0,24,0.9415978994137402,1068,-645.5683067882035,1323.9158046729628,1.1638713907125284,726,1047.6436708743618,268.412106403455,0.5027548209366391,1.1550528779492462,0.9795415164142915
AUDCAD,fixed,20,2.5,0.0,4.0,48,0.9819274189791399,1063,-181.96624726534708,1140.4629422409766,1.1281187827571388,725,735.1799449212072,302.5050000000009,0.5020689655172413,1.0,1.0444915140773838
AUDCAD,zscale,20,2.5,0.0,4.0,48,0.9631087399777459,1063,-491.9033119345362,1681.5717273852968,1.120221368886485,725,947.1140634743177,370.86916155100613,0.5020689655172413,1.384821701144877,0.9618590379706414
AUDCAD,voladj,20,2.5,0.0,4.0,48,0.9864190771519015,1063,-110.39941457857464,749.9957686248189,1.195083390427812,725,893.2888458951579,182.79647973555757,0.5020689655172413,0.8358620689655173,1.0181114966583642
AUDCAD,combo,20,2.5,0.0,4.0,48,0.9648154875104167,1063,-379.1662536408379,1117.599565654325,1.1783382357107741,725,1124.6987139436203,264.40058355988447,0.5020689655172413,1.155933382856421,0.9498624397678449
AUDCAD,fixed,20,2.5,1.0,4.0,24,0.8140892194593449,1110,-1486.433549215285,1569.0542742121775,0.9124452007267175,749,-405.09458711056874,797.5702511909668,0.5180240320427236,1.0,0.7223232686667158
AUDCAD,zscale,20,2.5,1.0,4.0,24,0.8039970662658433,1110,-2102.825546871711,2156.88016327757,0.9053464305765656,749,-604.1196776240904,1090.9963438176253,0.5180240320427236,1.383270501201661,0.7395976895517364
AUDCAD,voladj,20,2.5,1.0,4.0,24,0.8181052062319445,1110,-1172.2067278131656,1221.0936299097982,0.9560466660809679,749,-163.6352260807573,499.05795314337786,0.5180240320427236,0.835113484646195,0.7763885658390123
AUDCAD,combo,20,2.5,1.0,4.0,24,0.806016931100801,1110,-1678.2597413537994,1679.96050104657,0.9442425769707222,749,-287.225771353924,748.7460082552751,0.5180240320427236,1.1532108963402918,0.7333962426798349
AUDCAD,fixed,20,2.5,1.0,4.0,48,0.8140892194593449,1110,-1486.433549215285,1569.0542742121775,0.9131572386730986,749,-401.4868568741253,793.9625209545233,0.5180240320427236,1.0,0.7247453001670607
