pair,grp,year,pf,net,n_tp,n_fs,n_b48,n_force,tp_fs_ratio,max_dd,worst,trend_atr,path_eff,rng_atr,gate_share
AUDCHF,CAND_CHF,2018,1.0631,197048.0,122,2,2,4,30.5,1044832.0,-1078820.0,62.74173027989841,0.08268488198772354,76.24300254452945,0.11566265060240964
AUDCHF,CAND_CHF,2019,0.7916,-522701.0,85,1,2,3,28.333333333333332,1737971.0,-1133730.0,12.496572734196588,0.016032393094580266,82.43259710586457,0.07322948450297093
AUDCHF,CAND_CHF,2020,2.3366,1386010.0,94,1,0,1,94.0,1037000.0,-1037000.0,2.817230769230777,0.003474583475008492,127.99876923076975,0.0888
AUDCHF,CAND_CHF,2021,0.9777,-74751.0,127,2,2,4,31.75,1121229.0,-1053830.0,16.844815588030674,0.02375163129335794,83.05497564370287,0.11185897435897436
AUDCHF,CAND_CHF,2022,2.3437,2961540.0,152,1,2,3,50.666666666666664,1119741.0,-1176570.0,22.40717948717944,0.0352719135662944,67.1282051282051,0.13177300416800256
AUDCHF,CAND_CHF,2023,0.8162,-274732.0,46,1,1,2,23.0,1060460.0,-1060460.0,52.14535290006973,0.07545834218163802,95.82809224318638,0.03473227206946455
AUDCHF,CAND_CHF,2024,2.2147,649036.0,42,0,1,1,42.0,534310.0,-534310.0,11.666666666666679,0.015433391344271666,86.13400335008367,0.029781068898905343
AUDCHF,CAND_CHF,2025,1.8524,1358318.0,142,1,1,2,71.0,1085620.0,-1085620.0,35.91354945968483,0.048778945704575985,88.92269326683464,0.1153598971722365
AUDCHF,CAND_CHF,2026,inf,1021730.0,52,0,0,0,52.0,0.0,0.0,40.41415929203625,0.12208083832335348,51.61415929203642,0.09438684304612084
NZDCHF,CAND_CHF,2015,0.9106,-366866.0,76,4,0,4,19.0,2136566.0,-1074570.0,51.32582461786002,0.06518940260929271,125.85358004827035,0.069154068832422
NZDCHF,CAND_CHF,2016,inf,1294945.0,36,0,0,0,36.0,0.0,0.0,13.623584905660403,0.01922843907576725,63.997169811321136,0.026442307692307692
NZDCHF,CAND_CHF,2017,0.4856,-2059854.0,58,4,0,4,14.5,2531676.0,-1023230.0,12.575832305795206,0.018319900416190037,53.28976572133094,0.05929615940864535
NZDCHF,CAND_CHF,2018,0.5899,-948442.0,52,2,1,3,17.333333333333332,1382689.0,-1004360.0,30.79041095890431,0.041981539105195746,77.38356164383619,0.05910697076774815
NZDCHF,CAND_CHF,2019,2.5789,1091339.0,72,0,1,1,72.0,691220.0,-691220.0,8.500782472613437,0.011863448043906974,83.25508607198734,0.07339007547775815
NZDCHF,CAND_CHF,2020,0.713,-664348.0,60,1,2,3,20.0,1308022.0,-1092080.0,13.23923127899282,0.016084854086589953,113.56792577866229,0.04352
NZDCHF,CAND_CHF,2021,0.4598,-1989358.0,59,3,1,4,14.75,2275523.0,-1021190.0,11.569847856154947,0.016521727108075604,58.14937759336111,0.058012820512820515
