pair,direction,entry_time,exit_time,entry,exit,sl,tp,D,pnl_price,pnl_net,result,bars_held
EURJPY,SHORT,2016-05-06 12:00:00,2016-05-09 10:00:00,121.676,123.081,123.081,120.271,1.839,-1.405,-1.425,SL,22
EURJPY,SHORT,2016-05-19 13:00:00,2016-05-20 07:00:00,122.957,123.68586,123.68586,122.22814,0.954,-0.72886,-0.74886,SL,18
EURJPY,SHORT,2016-06-09 08:00:00,2016-06-13 01:00:00,120.825,119.39326,122.25674,119.39326,1.874,1.43174,1.41174,TP,41
EURJPY,LONG,2016-07-21 06:00:00,2016-07-21 09:00:00,118.403,116.17136,116.17136,120.63464,2.921,-2.23164,-2.25164,SL,3
EURJPY,SHORT,2016-07-29 03:00:00,2016-08-05 12:00:00,114.454,112.39349,116.51451,112.39349,2.697,2.06051,2.04051,TP,129
EURJPY,SHORT,2016-08-17 15:00:00,2016-08-18 11:00:00,112.946,113.69778,113.69778,112.19422,0.984,-0.75178,-0.77178,SL,20
EURJPY,SHORT,2016-09-21 12:00:00,2016-09-29 04:00:00,112.51,113.95014,113.95014,111.06986,1.885,-1.44014,-1.46014,SL,136
EURJPY,SHORT,2016-10-13 02:00:00,2016-10-13 04:00:00,114.669,114.3061,115.0319,114.3061,0.475,0.3629,0.3429,TP,2
EURJPY,LONG,2016-11-10 10:00:00,2016-11-21 05:00:00,116.008,117.75832,114.25768,117.75832,2.291,1.75032,1.73032,TP,163
EURJPY,SHORT,2016-12-28 17:00:00,2016-12-29 23:00:00,122.074,122.96941,122.96941,121.17859,1.172,-0.89541,-0.91541,SL,30
EURJPY,LONG,2017-01-27 07:00:00,2017-01-30 15:00:00,122.95,121.56258,121.56258,124.33742,1.816,-1.38742,-1.40742,SL,32
EURJPY,LONG,2017-02-14 15:00:00,2017-02-15 06:00:00,120.697,121.06219,120.33181,121.06219,0.478,0.36519,0.34519,TP,15
EURJPY,LONG,2017-03-09 08:00:00,2017-03-10 03:00:00,121.188,122.08112,120.29488,122.08112,1.169,0.89312,0.87312,TP,19
EURJPY,LONG,2017-04-23 21:00:00,2017-04-23 22:00:00,117.818,118.85093,116.78507,118.85093,1.352,1.03293,1.01293,TP,1
EURJPY,LONG,2017-06-05 05:00:00,2017-06-05 06:00:00,124.658,124.55562,124.55562,124.76038,0.134,-0.10238,-0.12238,SL,1
EURJPY,SHORT,2017-06-14 22:00:00,2017-06-15 16:00:00,122.631,123.70136,123.70136,121.56064,1.401,-1.07036,-1.09036,SL,18
EURJPY,LONG,2017-06-23 14:00:00,2017-06-27 08:00:00,124.645,125.3983,123.8917,125.3983,0.986,0.7533,0.7333,TP,42
EURJPY,SHORT,2017-07-19 12:00:00,2017-07-20 12:00:00,128.739,129.51064,129.51064,127.96736,1.01,-0.77164,-0.79164,SL,24
EURJPY,LONG,2017-07-25 08:00:00,2017-07-25 13:00:00,129.773,130.46289,129.08311,130.46289,0.903,0.68989,0.66989,TP,5
EURJPY,SHORT,2017-10-05 11:00:00,2017-10-11 01:00:00,132.087,132.87239,132.87239,131.30161,1.028,-0.78539,-0.80539,SL,86
EURJPY,LONG,2017-10-24 15:00:00,2017-10-26 13:00:00,134.129,133.34284,133.34284,134.91516,1.029,-0.78616,-0.80616,SL,46
EURJPY,LONG,2017-11-28 08:00:00,2017-11-28 10:00:00,132.448,132.25929,132.25929,132.63671,0.247,-0.18871,-0.20871,SL,2
EURJPY,LONG,2017-12-27 14:00:00,2017-12-29 17:00:00,134.88,135.49349,134.26651,135.49349,0.803,0.61349,0.59349,TP,51
EURJPY,LONG,2018-01-17 18:00:00,2018-01-19 13:00:00,135.902,135.33129,135.33129,136.47271,0.747,-0.57071,-0.59071,SL,43
EURJPY,SHORT,2018-01-26 15:00:00,2018-01-31 15:00:00,135.026,135.9917,135.9917,134.0603,1.264,-0.9657,-0.9857,SL,72
EURJPY,LONG,2018-03-13 09:00:00,2018-03-15 09:00:00,131.98,130.86074,130.86074,133.09926,1.465,-1.11926,-1.13926,SL,48
EURJPY,LONG,2018-05-22 07:00:00,2018-05-22 08:00:00,130.964,131.24286,130.68514,131.24286,0.365,0.27886,0.25886,TP,1
EURJPY,SHORT,2018-05-28 12:00:00,2018-05-29 07:00:00,127.152,126.09462,128.20938,126.09462,1.384,1.05738,1.03738,TP,19
EURJPY,LONG,2018-06-29 02:00:00,2018-06-29 14:00:00,128.376,129.3203,127.4317,129.3203,1.236,0.9443,0.9243,TP,12
EURJPY,SHORT,2018-07-26 23:00:00,2018-07-31 03:00:00,129.408,130.07115,130.07115,128.74485,0.868,-0.66315,-0.68315,SL,52
EURJPY,SHORT,2018-09-07 00:00:00,2018-09-11 06:00:00,128.318,129.58853,129.58853,127.04747,1.663,-1.27053,-1.29053,SL,54
EURJPY,LONG,2018-09-18 06:00:00,2018-09-20 11:00:00,131.113,131.73642,130.48958,131.73642,0.816,0.62342,0.60342,TP,53
EURJPY,SHORT,2018-10-01 14:00:00,2018-10-01 15:00:00,132.066,131.78256,132.34944,131.78256,0.371,0.28344,0.26344,TP,1
