trades,winrate,pf,total_pips,max_dd_pips,f1,f3,f4,f5,f6b,f6s,score
1013,0.4244817374136229,1.1063464837047845,620,-370,,,"[21, 22, 23, 0, 1, 2, 3, 4, 5]",40.0,45.0,55.0,14.9470295383608
936,0.4305555555555556,1.1341463414632018,715,-325,0.004,,None,50.0,45.0,55.0,14.939505343176059
936,0.4305555555555556,1.1341463414632018,715,-325,0.004,,None,,45.0,55.0,14.939505343176059
936,0.4305555555555556,1.1341463414632018,715,-325,0.004,,None,40.0,45.0,55.0,14.939505343176059
936,0.4305555555555556,1.1341463414632018,715,-325,0.004,,None,30.0,45.0,55.0,14.939505343176059
1022,0.42367906066536204,1.1027164685906445,605,-400,,,"[21, 22, 23, 0, 1, 2, 3, 4, 5]",,,,14.935725013447765
1022,0.42367906066536204,1.1027164685906445,605,-400,,,"[21, 22, 23, 0, 1, 2, 3, 4, 5]",50.0,,,14.935725013447765
1093,0.4181152790484904,1.0778301886790758,495,-380,,2.1,None,30.0,40.0,60.0,14.898977440887279
1029,0.4217687074829932,1.0941176470586396,560,-320,0.005,,None,30.0,40.0,60.0,14.802874765888479
1030,0.42135922330097086,1.0922818791944475,550,-320,0.005,,None,40.0,40.0,60.0,14.770862180908
1030,0.42135922330097086,1.0922818791944475,550,-320,0.005,,None,50.0,40.0,60.0,14.770862180908
1030,0.42135922330097086,1.0922818791944475,550,-320,0.005,,None,,40.0,60.0,14.770862180908
1019,0.42198233562315995,1.095076400678931,560,-400,,,"[21, 22, 23, 0, 1, 2, 3, 4, 5]",40.0,,,14.751146745482698
946,0.427061310782241,1.1180811808116018,640,-345,0.004,,None,40.0,,,14.686189730177626
946,0.427061310782241,1.1180811808116018,640,-345,0.004,,None,50.0,,,14.686189730177626
946,0.427061310782241,1.1180811808116018,640,-345,0.004,,None,30.0,,,14.686189730177626
946,0.427061310782241,1.1180811808116018,640,-345,0.004,,None,,,,14.686189730177626
1060,0.4179245283018868,1.0769854132899388,475,-380,,,None,30.0,35.0,65.0,14.654149398321703
955,0.42513089005235605,1.1092896174861366,600,-335,,,"[21, 22, 23, 0, 1, 2, 3, 4, 5]",50.0,40.0,60.0,14.573682236536605
955,0.42513089005235605,1.1092896174861366,600,-335,,,"[21, 22, 23, 0, 1, 2, 3, 4, 5]",,40.0,60.0,14.573682236536605
991,0.42179616548940463,1.094240837696144,540,-385,,,"[21, 22, 23, 0, 1, 2, 3, 4, 5]",30.0,45.0,55.0,14.529557011689754
952,0.42331932773109243,1.1010928961746627,555,-335,,,"[21, 22, 23, 0, 1, 2, 3, 4, 5]",40.0,40.0,60.0,14.38171018283665
981,0.42099898063200814,1.090669014084315,515,-350,,2.2,None,,45.0,55.0,14.381643630621284
976,0.42110655737704916,1.091150442477683,515,-350,,2.2,None,50.0,45.0,55.0,14.354945439252804
997,0.4192577733199599,1.082901554403958,480,-415,,,"[21, 22, 23, 0, 1, 2, 3, 4, 5]",30.0,,,14.335659586704555
983,0.4201424211597152,1.086842105262967,495,-350,,2.2,None,,,,14.316595274863902
978,0.42024539877300615,1.0873015873013954,495,-350,,2.2,None,50.0,,,14.289677141296487
